Gene,Annotation,Median_GSS,PCC
MYL12B,Colon Tissue,1.7421875,0.4685796682448098
TSPAN1,Colon Tissue,1.8125,0.45563810535040544
CYSTM1,Colon Tissue,0.0,0.45320414894869493
MGST3,Colon Tissue,1.7958984375,0.4522489433258954
ETHE1,Colon Tissue,1.78515625,0.4511645418177813
CLDN7,Colon Tissue,1.791015625,0.44708756628420426
EPCAM,Colon Tissue,1.818359375,0.44566418793693524
SLC25A5,Colon Tissue,1.83203125,0.4400852346190366
PRR15L,Colon Tissue,0.0,0.4390325667309631
PICALM,Colon Tissue,0.0,0.43873290531695835
UQCRB,Colon Tissue,1.783203125,0.43821692597447215
KLF4,Colon Tissue,0.0,0.4344777652591515
MUC13,Colon Tissue,1.7744140625,0.43321411835003154
PERP,Colon Tissue,0.0,0.43106526945501855
GNG5,Colon Tissue,1.7421875,0.43048714740648825
CLDN3,Colon Tissue,1.7314453125,0.4285882021497779
LDHA,Colon Tissue,1.791015625,0.42734421010432694
CDKN1A,Colon Tissue,0.0,0.4242600049022909
CALM1,Colon Tissue,1.8095703125,0.4239241785824148
CDH17,Colon Tissue,0.0,0.42137649200509975
S100A10,Colon Tissue,1.78515625,0.4209668523217551
TMBIM6,Colon Tissue,1.77734375,0.41959407933061
RAC1,Colon Tissue,1.7392578125,0.4194900231763878
SELENBP1,Colon Tissue,1.78515625,0.41939416916805594
MAOA,Colon Tissue,1.7265625,0.41907000157290786
MAPK3,Colon Tissue,0.0,0.41905530668912033
PKM,Colon Tissue,1.748046875,0.41894497098774963
COX5A,Colon Tissue,1.7802734375,0.41878905678916295
ATP1B1,Colon Tissue,1.791015625,0.4183140468640943
GPA33,Colon Tissue,0.0,0.41830273852395505
RFK,Colon Tissue,0.0,0.4180529621119734
C4orf3,Colon Tissue,0.0,0.41737718291132553
EDF1,Colon Tissue,1.7314453125,0.4165941323859388
TXN,Colon Tissue,1.7587890625,0.415743570583462
VDAC2,Colon Tissue,0.0,0.41571420877913856
SPINT1,Colon Tissue,0.0,0.41537557093139893
LGALS3,Colon Tissue,1.8408203125,0.41508871395514524
SRI,Colon Tissue,0.0,0.41437667287789554
MYH14,Colon Tissue,0.0,0.4141090554930084
ITM2B,Colon Tissue,1.7529296875,0.4136079606138497
NDUFA6,Colon Tissue,1.76953125,0.4135849554840244
GIPC2,Colon Tissue,0.0,0.41325411502224935
CHP1,Colon Tissue,0.0,0.41304405937464395
CFL1,Colon Tissue,1.7421875,0.412616201488551
COX6B1,Colon Tissue,1.763671875,0.41258104996106
VAMP8,Colon Tissue,0.0,0.41247483279407826
ABCB1,Colon Tissue,0.0,0.4112648000902125
TGOLN2,Colon Tissue,1.76953125,0.4110826653107513
TMEM54,Colon Tissue,0.0,0.4110067771986263
VIL1,Colon Tissue,0.0,0.41096060754307356
KRT20,Colon Tissue,0.0,0.4103430136991831
ARPC1B,Colon Tissue,0.0,0.4098758637160664
TSPAN8,Colon Tissue,1.76953125,0.4089746508501825
NUDT4,Colon Tissue,0.0,0.40892984382743924
EPS8L3,Colon Tissue,0.0,0.40774016759627213
COX17,Colon Tissue,0.0,0.4067057510094043
SULT1B1,Colon Tissue,0.0,0.40658667997962894
SDCBP2,Colon Tissue,0.0,0.4055560996284066
TMEM45B,Colon Tissue,0.0,0.4051455370718797
MYO15B,Colon Tissue,0.0,0.4048390395370768
HINT1,Colon Tissue,1.8154296875,0.40437852067480623
COX6A1,Colon Tissue,1.8095703125,0.40383541745513646
SLC26A2,Colon Tissue,0.0,0.40334482087859896
GNG12,Colon Tissue,0.0,0.4029343909407133
PLEKHB2,Colon Tissue,0.0,0.4026326993973884
HIGD1A,Colon Tissue,1.8291015625,0.4023819814159473
MISP,Colon Tissue,0.0,0.402078855876668
F11R,Colon Tissue,0.0,0.4012849783396757
CHCHD2,Colon Tissue,1.8046875,0.40105297930023065
HNF4A,Colon Tissue,0.0,0.39996729274646237
IFNGR1,Colon Tissue,0.0,0.3999394799623521
COX8A,Colon Tissue,1.76953125,0.3997782995429552
COX7A2,Colon Tissue,1.798828125,0.3982087926083647
ACTN4,Colon Tissue,0.0,0.39818942057935547
ILDR1,Colon Tissue,0.0,0.39811077345478574
ATP5F1D,Colon Tissue,1.7744140625,0.3976957860191641
PRDX5,Colon Tissue,1.734375,0.3975682991920307
SERF2,Colon Tissue,1.7666015625,0.39701819380259407
IER3IP1,Colon Tissue,0.0,0.39689846784630106
PRELID3B,Colon Tissue,0.0,0.39655222616555696
OCIAD2,Colon Tissue,0.0,0.3961930543782125
EZR,Colon Tissue,0.0,0.3955529124176152
TSPAN3,Colon Tissue,1.734375,0.39540993790522716
MGAT4C,Colon Tissue,0.0,0.39522871899730466
TSTD1,Colon Tissue,1.7265625,0.39510584376314134
SQOR,Colon Tissue,0.0,0.3946556998575303
COX7B,Colon Tissue,1.8076171875,0.39464224640402135
FAM162A,Colon Tissue,1.728515625,0.3942198774207204
TLE5,Colon Tissue,1.75,0.3941769655868073
