umap_1,umap_2,age,cell_type,Picalm,Adam10,App,Sorl1,Psen1,Epcam,Krt8,Muc2,Vil1,Cd68,Cd163,Cd14,Aif1
13.350492,11.744281,0d,Glia,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17896898,5.927074,0d,Stem,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5617247,21.099651,0d,SMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.82998,13.943656,0d,Fibroblast,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.712094,19.782354,0d,SMC,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.1297388,15.421642,0d,Colonocyte,2.0,0.0,2.0,2.0,1.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2.450576,23.920238,0d,Mesothelial,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4.147509,19.953892,0d,SMC,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12.74925,5.8060412,0d,Neuron,2.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10.952628,17.967924,0d,Lymphatic,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2423573,21.14526,0d,SMC,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.27317,24.534664,0d,Vascular,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5.230868,20.580769,0d,SMC,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7.6790752,3.9344769,0d,TA,0.0,0.0,1.0,1.0,0.0,4.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0
