organ,age_months,n_samples,n_spots_total,n_spots_pAD_valid,median_logp,q25_logp,q75_logp,frac_genomewide_sig
BAT,3,2.0,10713.0,10683.0,1.1864621139469855,0.7341399387161898,1.7069555848943485,0.0008424599831508003
BAT,6,1.0,10000.0,9995.0,0.9959639170696932,0.5803957858941813,1.496130064808626,0.0
BAT,12,1.0,10000.0,9994.0,1.0570101477693925,0.6057687870825167,1.599968974335321,0.0
BAT,16,1.0,10000.0,9983.0,1.053840003237587,0.6234530005105323,1.5953525010276612,0.0
BAT,18,1.0,662.0,613.0,3.548753820656929,1.546555384849307,5.832823676357659,0.05546492659053834
BAT,21,1.0,794.0,781.0,2.4581560220055056,1.0450079727710468,3.527513661745936,0.06145966709346991
BAT,23,1.0,10000.0,9998.0,1.1230669591248645,0.6416659141225126,1.7342582160289055,0.0
BAT,24,1.0,848.0,844.0,1.6037075232593825,0.91591378419417,2.513376741415891,0.001184834123222749
BAT,30,1.0,2015.0,1987.0,2.4209141396195606,0.7926891341863753,3.406104588944168,0.03120281831907398
Bone_Marrow,1,1.0,3027.0,2988.0,3.327957823864881,2.2394832390840005,4.574476012884084,0.011378848728246318
Bone_Marrow,3,1.0,3490.0,3440.0,3.6938345262343253,2.4293071284336176,5.145457652860879,0.04215116279069767
Bone_Marrow,18,1.0,6712.0,6656.0,3.3568657889978355,2.4054797854782395,4.502010650852525,0.005108173076923077
Bone_Marrow,21,1.0,5216.0,5181.0,3.0983501027476126,2.2231766296844797,4.387535618488737,0.010808724184520363
Bone_Marrow,24,1.0,8279.0,8247.0,3.229596823288814,2.1803063479588194,4.276218377108508,0.011519340366193767
Bone_Marrow,30,1.0,10000.0,9973.0,3.0884869212685238,2.1700635697715582,4.363929727980005,0.009024365787626592
Brain,3,2.0,17923.0,17597.0,0.06246481319519422,0.00071416995863738,1.3980659331966097,0.04017730294936637
Brain,6,2.0,15898.0,15688.0,0.022527574175972363,0.0016539719165320071,0.31835631164609424,0.010135135135135136
Brain,12,1.0,6439.0,6417.0,0.6663914057833316,0.22090123646337526,5.351038092742326,0.01386940938133084
Brain,18,1.0,6636.0,6595.0,3.686791603299225,2.114393791454875,4.823553714369366,0.009249431387414709
Brain,21,2.0,20697.0,20440.0,0.05620414001760193,0.0026538531229178537,3.5027997062124676,0.028620352250489235
Brain,24,1.0,5336.0,5240.0,3.514434232186292,2.456222027934118,4.63946039485217,0.00400763358778626
Colon,3,2.0,13987.0,13937.0,1.3977717823211901,0.5708882708153394,2.4181637330442896,0.00021525435890076773
Colon,6,1.0,10000.0,9889.0,1.2391462996236544,0.4559806314419297,2.230246840139019,0.0
Colon,12,1.0,10000.0,9900.0,1.1858953605237228,0.4966767718214264,2.021035015834097,0.0
Colon,16,1.0,10000.0,9927.0,1.1744416564711198,0.5115001550014203,2.0101305078558998,0.0
Colon,18,1.0,2369.0,2369.0,2.3778129860567194,1.1355637530232092,3.296805443920372,0.0
