organ,age_group,n_samples,n_spots_total,n_spots_pAD_valid,median_logp,q25_logp,q75_logp,frac_genomewide_sig
BAT,Mid (6–18 mo),2.0,20000.0,19977.0,1.0556108128282078,0.6140532576623964,1.5968764021925776,0.0
BAT,Old (≥18 mo),5.0,14319.0,14223.0,1.2783680844127256,0.7055982325980565,2.2121251213474693,0.01019475497433734
BAT,Young (≤6 mo),3.0,20713.0,20678.0,1.0969230321157215,0.6533444725917964,1.6126289751461487,0.0004352451881226424
Bone_Marrow,Old (≥18 mo),4.0,30207.0,30057.0,3.1873989393856963,2.237740494324674,4.373019334133387,0.009149283028911735
Bone_Marrow,Young (≤6 mo),2.0,6517.0,6428.0,3.5033107152599854,2.327449432718501,4.87340946009911,0.027846919726197884
Brain,Mid (6–18 mo),1.0,6439.0,6417.0,0.6663914057833316,0.22090123646337526,5.351038092742326,0.01386940938133084
Brain,Old (≥18 mo),4.0,32669.0,32275.0,1.0494092231189,0.01577958976368755,4.632030047223488,0.02066615027110767
Brain,Young (≤6 mo),4.0,33821.0,33285.0,0.035066187619348634,0.0013172707419507159,0.7518992373248626,0.02601772570226829
Colon,Mid (6–18 mo),2.0,20000.0,19827.0,1.1796644087470336,0.5035292833474427,2.0175681359296247,0.0
Colon,Old (≥18 mo),5.0,26211.0,26124.0,1.5841688291953304,0.7825923837900837,2.670176729886715,0.0005741846577859439
Colon,Young (≤6 mo),3.0,23987.0,23826.0,1.3222999886133473,0.5180732997917064,2.3380001279717835,0.00012591286829513975
Heart,Mid (6–18 mo),2.0,20000.0,19954.0,1.056527218059843,0.17786968215447846,2.1201960231899752,0.000350806855768267
Heart,Old (≥18 mo),5.0,17133.0,16955.0,1.579719024223439,0.4641870927639743,2.7238205246851113,0.005072250073724565
Heart,Young (≤6 mo),4.0,21480.0,21395.0,1.0181405952928766,0.18196827666602905,2.207648894785468,0.0007945781724702034
Ileum,Mid (6–18 mo),3.0,29972.0,29807.0,1.771137216138327,1.0487722225246552,2.586506364277755,0.0
Ileum,Old (≥18 mo),4.0,39952.0,39831.0,2.0098251586680567,1.4252069622499983,2.6449011433612517,0.00027616680475006904
Ileum,Young (≤6 mo),2.0,19988.0,19839.0,1.7422126120426673,0.7489297494449134,2.6100571801234222,0.0
Kidney,Mid (6–18 mo),2.0,19595.0,19260.0,0.7311682770992018,0.3413147184219415,1.2343048141418165,0.0
Kidney,Old (≥18 mo),5.0,26058.0,25776.0,2.045089959846421,0.8362135063269791,3.40064054126191,0.006440099317194289
Kidney,Young (≤6 mo),4.0,24251.0,23786.0,0.8666642741144078,0.43363214998733746,1.5267201346037413,0.0
Liver,Mid (6–18 mo),2.0,19938.0,19913.0,1.370438155785596,0.8614130094723298,1.9531910357788365,0.0
Liver,Old (≥18 mo),5.0,14743.0,14494.0,1.6245312891856283,0.8238390011785772,3.1558065306835443,0.025665792741824203
Liver,Young (≤6 mo),4.0,23468.0,23338.0,1.5960694638710708,0.968702498586463,2.319118514202069,0.0007712743165652583
Lung,Mid (6–18 mo),2.0,19991.0,19850.0,1.1196712122538166,0.4969234165102161,2.9980251724748577,0.0010075566750629723
Lung,Old (≥18 mo),5.0,29187.0,28500.0,3.175594561612508,1.773028913266137,4.607682645691191,0.016842105263157894
Lung,Young (≤6 mo),4.0,26104.0,25537.0,1.410193261722785,0.6455355595792185,3.1233875903172774,0.007048596154599209
Muscle,Mid (6–18 mo),2.0,19992.0,19807.0,0.651078928301929,0.2552467963970796,1.1688443187757993,0.0
Muscle,Old (≥18 mo),5.0,19559.0,19456.0,1.012341998029966,0.4459993946161922,2.147658963014203,0.004163240131578948
Muscle,Young (≤6 mo),3.0,21096.0,20929.0,0.7331740836690688,0.30236662426049365,1.3093328853647643,0.0002866835491423384
Pancreas,Old (≥18 mo),3.0,6150.0,6015.0,1.2868532323872623,0.7950577512138658,2.103752041782694,0.0048212801330008315
Pancreas,Young (≤6 mo),1.0,1588.0,1588.0,1.5974370806932898,1.01714117258289,2.279709962703234,0.0031486146095717885
Skin,Old (≥18 mo),2.0,5474.0,5454.0,2.345776123153443,1.5223894305441577,3.220130842591069,0.0
Skin,Young (≤6 mo),1.0,2346.0,2308.0,2.2552757727631616,1.578384969526249,2.946205265806008,0.0
Spleen,Mid (6–18 mo),1.0,9569.0,9515.0,2.1132504836112487,1.6362373439207096,2.6758542086010166,0.0
Spleen,Old (≥18 mo),4.0,24684.0,24490.0,3.7234394142855107,2.9420012756991443,4.655307589442048,0.011882400979991834
Spleen,Young (≤6 mo),3.0,18693.0,18530.0,3.7028698614857536,2.8591794217272217,4.5314452646441685,0.00960604425256341
Stomach,Mid (6–18 mo),3.0,27028.0,26875.0,0.9339390805598846,0.3941265212687385,1.6294927550297804,0.00018604651162790697
Stomach,Old (≥18 mo),3.0,28286.0,28181.0,1.513773858917185,0.8955856645831711,2.159676091442556,0.0001064547035236507
Stomach,Young (≤6 mo),2.0,18801.0,18701.0,0.6993091336427626,0.23391726410378275,1.2779739324045198,0.0
Thymus,Mid (6–18 mo),1.0,10000.0,10000.0,2.1895791212455995,1.6726522490385445,2.7910488226156467,0.0001
Thymus,Old (≥18 mo),3.0,7845.0,7812.0,3.003853256771988,2.3242369310484907,3.767101874845469,0.00409626216077829
Thymus,Young (≤6 mo),1.0,1430.0,1430.0,2.467649784994596,1.9384382891860232,3.143445003830148,0.0006993006993006993
