organ,age_group,age_months,sample,sample_median_logp
BAT,Mid,12,BAT_12_months,1.0570101477693925
BAT,Mid,16,BAT_16_months,1.053840003237587
BAT,Old,18,BAT_18m,3.548753820656929
BAT,Old,21,BAT_21m,2.4581560220055056
BAT,Old,23,BAT_23_months,1.1230669591248645
BAT,Old,24,BAT_24m,1.6037075232593825
BAT,Old,30,BAT_30m,2.4209141396195606
BAT,Young,3,BAT_03_months,1.1355605365519004
BAT,Young,3,BAT_3m,3.074368361572855
BAT,Young,6,BAT_06_months,0.9959639170696932
Bone_Marrow,Old,18,Bone_Marrow_18m,3.3568657889978355
Bone_Marrow,Old,21,Bone_Marrow_21m,3.0983501027476126
Bone_Marrow,Old,24,Bone_Marrow_24m,3.229596823288814
Bone_Marrow,Old,30,Bone_Marrow_30m,3.0884869212685238
Bone_Marrow,Young,1,Bone_Marrow_1m,3.327957823864881
Bone_Marrow,Young,3,Bone_Marrow_3m,3.6938345262343253
Brain,Mid,12,Brain_12m,0.6663914057833316
Brain,Old,18,Brain_18m,3.686791603299225
Brain,Old,21,Brain_21_months,0.036583536503485906
Brain,Old,21,Brain_21m,0.1187991757983312
Brain,Old,24,Brain_24m,3.514434232186292
Brain,Young,3,Brain_03_months,0.05291362544833704
Brain,Young,3,Brain_3m,0.9488521271397756
Brain,Young,6,Brain_06_months,0.029431748174560072
Brain,Young,6,Brain_6m,0.0036930275570731825
Colon,Mid,12,Colon_12_months,1.1858953605237228
Colon,Mid,16,Colon_16_months,1.1744416564711198
Colon,Old,18,Colon_18m,2.3778129860567194
Colon,Old,21,Colon_21m,1.5708228345435171
Colon,Old,23,Colon_23_months,1.1594486668783317
Colon,Old,24,Colon_24m,2.619161242368294
Colon,Old,30,Colon_30m,2.863872206823064
Colon,Young,3,Colon_03_months,1.2674753472953317
Colon,Young,3,Colon_3m,2.253902837947053
Colon,Young,6,Colon_06_months,1.2391462996236544
Heart,Mid,12,Heart_12_months,0.9423067427234502
Heart,Mid,16,Heart_16_months,1.1557128850635694
Heart,Old,18,Heart_18m,1.941960945851276
Heart,Old,21,Heart_21m,2.273431538756114
Heart,Old,23,Heart_23_months,1.149997865585002
Heart,Old,24,Heart_24m,2.4098400555829107
Heart,Old,30,Heart_30m,2.4122427674183538
Heart,Young,1,Heart_1m,2.4826602762259267
Heart,Young,3,Heart_03_months,1.0237227634457147
Heart,Young,3,Heart_3m,1.6238492295732319
Heart,Young,6,Heart_06_months,0.8802231140459418
Ileum,Mid,12,Ileum_12_months,1.750411378569412
Ileum,Mid,12,Ileum_12m,1.800907676811767
Ileum,Mid,16,Ileum_16_months,1.751744218155899
Ileum,Old,18,Ileum_18m,1.9469690065320993
Ileum,Old,21,Ileum_21m,2.3448970472755764
Ileum,Old,23,Ileum_23_months,1.8889831654884308
Ileum,Old,24,Ileum_24m,1.8085537625503663
Ileum,Young,3,Ileum_03_months,1.8159784297824781
Ileum,Young,6,Ileum_06_months,1.6903281350459889
Kidney,Mid,12,Kidney_12_months,0.7077028310747844
Kidney,Mid,16,Kidney_16_months,0.7522208795667482
Kidney,Old,18,Kidney_18m,2.587459469696756
Kidney,Old,21,Kidney_21m,2.8325805433789153
Kidney,Old,23,Kidney_23_months,0.7062604276817314
Kidney,Old,24,Kidney_24m,3.6589945194186297
Kidney,Old,30,Kidney_30m,2.508281010492788
Kidney,Young,1,Kidney_1m,2.270345772633312
Kidney,Young,3,Kidney_03_months,0.7160084202608658
Kidney,Young,3,Kidney_3m,2.3693633615072276
Kidney,Young,6,Kidney_06_months,0.7319412291771825
Liver,Mid,12,Liver_12_months,1.435545190052582
Liver,Mid,16,Liver_16_months,1.2987067853693264
Liver,Old,18,Liver_18m,3.191260307773683
Liver,Old,21,Liver_21m,3.444642105328031
Liver,Old,23,Liver_23_months,1.2653597793115714
Liver,Old,24,Liver_24m,3.089145000278572
Liver,Old,30,Liver_30m,5.224734587679369
Liver,Young,1,Liver_1m,3.4063498169197857
Liver,Young,3,Liver_03_months,1.3458925541414513
Liver,Young,3,Liver_3m,2.418777524754654
Liver,Young,6,Liver_06_months,1.5637092775769001
Lung,Mid,12,Lung_12_months,1.1649974511183552
Lung,Mid,16,Lung_16_months,1.06573876690274
Lung,Old,18,Lung_18m,3.132158254269644
Lung,Old,21,Lung_21m,3.092166479605868
Lung,Old,23,Lung_23_months,1.7702719270607117
Lung,Old,24,Lung_24m,1.7401298872015354
Lung,Old,30,Lung_30m,4.226621454563476
Lung,Young,1,Lung_1m,3.7602328649113472
Lung,Young,3,Lung_03_months,1.2363040478862781
Lung,Young,3,Lung_3m,1.8223647652288104
Lung,Young,6,Lung_06_months,1.1607873557254629
Muscle,Mid,12,Muscle_12_months,0.6501901992029792
Muscle,Mid,16,Muscle_16_months,0.6517146344186321
Muscle,Old,18,Muscle_18m,2.3177273485984244
Muscle,Old,21,Muscle_21m,1.674662288070731
Muscle,Old,23,Muscle_23_months,0.5408719113025011
Muscle,Old,24,Muscle_24m,1.604015842498206
Muscle,Old,30,Muscle_30m,2.225649197100703
Muscle,Young,3,Muscle_03_months,0.7938484866775641
Muscle,Young,3,Muscle_3m,1.6552315800814497
Muscle,Young,6,Muscle_06_months,0.6305247121449908
Pancreas,Old,18,Pancreas_18m,1.3649357912548685
Pancreas,Old,21,Pancreas_21m,1.8026332553312545
Pancreas,Old,30,Pancreas_30m,0.9942697121920177
Pancreas,Young,3,Pancreas_3m,1.5974370806932898
Skin,Old,21,Skin_21m,2.5337459292046436
Skin,Old,24,Skin_24m,1.7513192818978323
Skin,Young,3,Skin_3m,2.2552757727631616
Spleen,Mid,12,Spleen_12m,2.1132504836112487
Spleen,Old,18,Spleen_18m,3.845568339796189
Spleen,Old,21,Spleen_21m,4.103401828190887
Spleen,Old,24,Spleen_24m,3.4239529358794516
Spleen,Old,30,Spleen_30m,3.4915941105312727
Spleen,Young,1,Spleen_1m,3.812795798249507
Spleen,Young,3,Spleen_3m,3.970998644905784
Spleen,Young,6,Spleen_6m,3.443192889951256
Stomach,Mid,12,Stomach_12_months,0.6930659070338132
Stomach,Mid,12,Stomach_12m,1.6132685976835202
Stomach,Mid,16,Stomach_16_months,0.7182477944705762
Stomach,Old,18,Stomach_18m,1.8924033935451972
Stomach,Old,23,Stomach_23_months,0.6702138149838743
Stomach,Old,24,Stomach_24m,1.6434825688183818
Stomach,Young,3,Stomach_03_months,0.7582152211505451
Stomach,Young,6,Stomach_06_months,0.6354682626345112
Thymus,Mid,12,Thymus_12m,2.1895791212455995
Thymus,Old,18,Thymus_18m,2.6989901399796796
Thymus,Old,21,Thymus_21m,2.708418065016133
Thymus,Old,24,Thymus_24m,3.6233720469782904
Thymus,Young,3,Thymus_3m,2.467649784994596
