umap_1,umap_2,cell_type,PICALM,CD2AP,ADAM10,CR1,APP,SORL1,PSEN1
11.00406,3.9582267,enterocyte of epithelium of small intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.755031,5.7483544,enterocyte of epithelium of small intestine,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3685845,13.9579525,intestinal tuft cell,1.0,4.0,1.0,0.0,11.0,1.0,0.0
-0.9814576,1.844047,enterocyte of epithelium of large intestine,1.0,0.0,0.0,0.0,2.0,0.0,0.0
10.059106,3.3833377,enterocyte of epithelium of small intestine,0.0,0.0,1.0,0.0,1.0,1.0,0.0
14.656751,8.461609,enterocyte of epithelium of small intestine,0.0,0.0,3.0,0.0,2.0,1.0,1.0
2.8301451,-4.070795,colon goblet cell,0.0,1.0,0.0,0.0,1.0,1.0,0.0
9.735523,10.004493,enterocyte of epithelium of small intestine,0.0,0.0,0.0,0.0,0.0,3.0,0.0
3.877881,-3.4943898,colon goblet cell,1.0,0.0,1.0,0.0,1.0,0.0,0.0
-1.3297063,4.027075,enterocyte of epithelium of large intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6465137,-3.8754244,colon goblet cell,0.0,2.0,0.0,0.0,5.0,2.0,1.0
-1.6208547,-0.46940416,BEST4+ enterocyte,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10.322385,5.2327986,enterocyte of epithelium of small intestine,0.0,0.0,0.0,0.0,2.0,0.0,0.0
10.069061,4.5386515,enterocyte of epithelium of small intestine,0.0,0.0,0.0,0.0,6.0,1.0,2.0
3.408864,-4.0125265,colon goblet cell,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.403422,3.3289623,enterocyte of epithelium of small intestine,2.0,0.0,1.0,0.0,0.0,0.0,0.0
2.9611044,-3.0161197,colon goblet cell,0.0,0.0,0.0,0.0,5.0,2.0,0.0
9.003732,13.435373,enterocyte of epithelium of small intestine,0.0,1.0,1.0,0.0,2.0,1.0,0.0
2.193842,-3.246435,colon goblet cell,0.0,3.0,2.0,0.0,10.0,3.0,1.0
9.202898,4.518482,enterocyte of epithelium of small intestine,0.0,0.0,1.0,0.0,4.0,0.0,0.0
10.800782,6.8268456,enterocyte of epithelium of small intestine,0.0,3.0,1.0,0.0,0.0,1.0,0.0
10.497247,4.61517,enterocyte of epithelium of small intestine,0.0,0.0,1.0,0.0,0.0,2.0,0.0
-5.079161,3.7805557,enterocyte of epithelium of large intestine,0.0,3.0,0.0,0.0,2.0,2.0,0.0
-2.1651096,4.719931,enterocyte of epithelium of large intestine,0.0,1.0,0.0,0.0,4.0,0.0,0.0
10.286665,4.7051635,enterocyte of epithelium of small intestine,2.0,1.0,0.0,0.0,0.0,0.0,1.0
7.7158237,-5.329207,small intestine goblet cell,0.0,0.0,0.0,0.0,3.0,0.0,0.0
1.2811241,7.762324,enteroendocrine cell of colon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.05716,3.5517144,enterocyte of epithelium of large intestine,1.0,1.0,1.0,0.0,5.0,1.0,1.0
-0.3855784,11.813468,tuft cell of colon,1.0,2.0,1.0,0.0,6.0,0.0,2.0
-1.17322,12.454645,tuft cell of colon,0.0,4.0,0.0,0.0,7.0,0.0,2.0
-2.5493243,12.0617695,tuft cell of colon,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3.2097514,-4.761871,colon goblet cell,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.96665215,1.6328549,intestinal crypt stem cell of colon,0.0,2.0,0.0,0.0,5.0,2.0,1.0
-0.4049959,3.1082458,enterocyte of epithelium of large intestine,0.0,0.0,0.0,0.0,6.0,1.0,0.0
10.203362,3.3825576,enterocyte of epithelium of small intestine,1.0,3.0,0.0,0.0,1.0,0.0,0.0
9.9263315,10.492264,enterocyte of epithelium of small intestine,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11.859884,0.73528606,intestinal crypt stem cell of small intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.441232,1.1901637,intestinal crypt stem cell of small intestine,0.0,0.0,0.0,0.0,1.0,1.0,0.0
5.2884994,7.7441645,epithelial cell of small intestine,0.0,0.0,1.0,0.0,3.0,0.0,0.0
1.0423343,1.8356737,intestinal crypt stem cell of colon,0.0,1.0,1.0,0.0,4.0,0.0,0.0
4.5836535,8.363157,epithelial cell of small intestine,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.640371,2.704978,transit amplifying cell of small intestine,1.0,1.0,2.0,0.0,4.0,2.0,0.0
11.251388,1.6558485,intestinal crypt stem cell of small intestine,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.9801879,0.72759306,BEST4+ enterocyte,0.0,0.0,3.0,0.0,5.0,0.0,1.0
10.849568,1.2878355,intestinal crypt stem cell of small intestine,1.0,0.0,1.0,0.0,2.0,0.0,0.0
4.6213756,-3.598759,colon goblet cell,0.0,1.0,1.0,0.0,1.0,0.0,0.0
9.7726145,8.0100975,enterocyte of epithelium of small intestine,1.0,3.0,0.0,0.0,1.0,2.0,2.0
9.072848,13.332441,enterocyte of epithelium of small intestine,1.0,0.0,1.0,0.0,0.0,0.0,0.0
10.553671,6.190731,enterocyte of epithelium of small intestine,2.0,1.0,1.0,0.0,3.0,0.0,1.0
8.53874,-4.769755,small intestine goblet cell,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.628833,-3.373957,colon goblet cell,0.0,0.0,0.0,0.0,3.0,1.0,1.0
9.408383,13.3712015,enterocyte of epithelium of small intestine,1.0,1.0,0.0,0.0,1.0,4.0,0.0
-1.9295529,4.3370714,enterocyte of epithelium of large intestine,0.0,1.0,1.0,0.0,2.0,2.0,2.0
9.510723,8.965249,enterocyte of epithelium of small intestine,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0272458,-5.2640743,colon goblet cell,1.0,0.0,2.0,0.0,7.0,0.0,0.0
10.4553,9.447394,enterocyte of epithelium of small intestine,1.0,1.0,1.0,0.0,2.0,0.0,1.0
-2.6021059,4.0930686,enterocyte of epithelium of large intestine,1.0,6.0,1.0,0.0,3.0,1.0,0.0
-1.7812668,12.836913,tuft cell of colon,2.0,0.0,1.0,0.0,7.0,6.0,0.0
0.106412694,3.4756076,transit amplifying cell of colon,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11.632817,5.7378755,enterocyte of epithelium of small intestine,0.0,1.0,0.0,0.0,3.0,0.0,1.0
9.885917,9.986381,enterocyte of epithelium of small intestine,2.0,2.0,1.0,0.0,1.0,0.0,0.0
-3.534285,3.9614334,enterocyte of epithelium of large intestine,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.7706757,2.280206,intestinal crypt stem cell of colon,0.0,0.0,0.0,0.0,2.0,0.0,0.0
-2.2109663,12.075669,tuft cell of colon,2.0,0.0,0.0,0.0,3.0,2.0,0.0
14.187129,9.80311,enterocyte of epithelium of small intestine,1.0,1.0,0.0,0.0,1.0,3.0,0.0
9.548904,12.562357,enterocyte of epithelium of small intestine,3.0,4.0,0.0,0.0,1.0,8.0,1.0
2.1133215,-4.1351867,colon goblet cell,1.0,0.0,0.0,0.0,4.0,0.0,0.0
3.336285,-4.9986677,colon goblet cell,0.0,3.0,0.0,0.0,2.0,0.0,0.0
-1.3297013,3.3765984,enterocyte of epithelium of large intestine,0.0,0.0,0.0,0.0,2.0,0.0,0.0
10.5673685,8.233087,enterocyte of epithelium of small intestine,2.0,2.0,1.0,0.0,3.0,2.0,2.0
10.714719,6.244855,enterocyte of epithelium of small intestine,1.0,4.0,2.0,0.0,4.0,1.0,0.0
5.8853784,-1.6067803,progenitor cell,2.0,1.0,1.0,0.0,2.0,0.0,0.0
10.001119,2.8903177,enterocyte of epithelium of small intestine,0.0,1.0,1.0,0.0,2.0,0.0,0.0
