gene,tissue,n_snps,PP_H0,PP_H1,PP_H2,PP_H3,PP_H4
PICALM,Colon_Transverse,3672,3.6705865229076734e-32,0.005038716159109324,7.24750052135117e-30,0.9948844671705314,7.681667036569288e-05
PICALM,Colon_Sigmoid,3672,3.3570330374136426e-33,0.00046082925730573895,7.281226938034785e-30,0.9995142380291516,2.4932713547968715e-05
ADAM10,Colon_Transverse,4295,2.0799129972107852e-10,5.7659033329536225e-05,3.6058733875418514e-06,0.9996144389811021,0.00032429590419078133
ADAM10,Colon_Sigmoid,4295,1.3565230915398313e-09,0.0003760532784413097,3.6045831335085623e-06,0.9992567173832012,0.0003636233987009694
CR1,Colon_Transverse,6111,2.177088482850995e-27,0.5939462163154918,1.2522681475170438e-27,0.3415752544852989,0.06447852919920735
CR1,Colon_Sigmoid,6111,1.1449516626225063e-30,0.0003123619977945162,2.988261162954668e-29,0.007159949461929966,0.9925276885402752
APP,Colon_Transverse,4597,1.7186554062090026e-05,0.03544435693558157,0.00046653162853585846,0.962140537884253,0.0019313869975671266
APP,Colon_Sigmoid,4592,0.00015017772835672618,0.3097160781881014,0.000286927083058895,0.591640208023745,0.09820660897673726
SORL1,Colon_Transverse,1569,1.2288512113014785e-08,0.8745486115933955,1.2648108313021122e-09,0.08997856194334297,0.035472812909938777
SORL1,Colon_Sigmoid,1569,1.1697096657597196e-08,0.8324587669764433,1.6324521255020783e-09,0.11612690953577678,0.05141431015823089
PSEN1,Colon_Transverse,1771,0.7958146335821257,0.12272813144988556,0.06328725279405838,0.009751550727514501,0.008418431446415893
PSEN1,Colon_Sigmoid,1771,0.5823163644546381,0.08980307260815551,0.25207135706225847,0.038836711575868786,0.036972494299079145
TREM2,Colon_Transverse,2731,1.075817646159468e-09,0.7358497274913324,3.0342711879424736e-10,0.20748479238383635,0.05666547874558594
TREM2,Colon_Sigmoid,2731,1.0433883141672319e-09,0.7136683520561914,3.2785803562380614e-10,0.2241898464721385,0.06214180010042369
SPI1,Colon_Transverse,1239,1.8652486883675206e-06,0.9109959897064236,1.1584585281571021e-07,0.056547189471185866,0.032454839727850036
SPI1,Colon_Sigmoid,1239,1.8546007634460727e-06,0.905795494478828,1.5457153563040943e-07,0.07547471712184312,0.018727779227029267
BIN1,Colon_Transverse,2003,1.3622071909411506e-89,1.2119675039562483e-07,1.1239633136433095e-82,0.99999986846303,1.0340213576424857e-08
BIN1,Colon_Sigmoid,2003,2.7505685165149676e-101,2.4472045674036546e-19,1.1239634614744296e-82,1.0,8.397282073674717e-20
