age,age_weeks,cell_type,Picalm,Adam10,App,Sorl1,Psen1
0d,0.0,B,1.3333334,0.8333333,0.6666667,0.33333334,0.5
0d,0.0,Colonocyte,0.947644,1.0,3.2068062,0.9842932,1.6361257
0d,0.0,Cycling,0.51632047,0.83827895,1.5727003,1.045994,0.8338279
0d,0.0,Enteroendocrine,0.3488372,0.6511628,2.6046512,0.3488372,0.4651163
0d,0.0,Fibroblast,0.5131579,0.43421054,1.1535088,0.21271929,0.2850877
0d,0.0,Glia,0.18045112,0.59398496,1.2706767,0.18796992,0.2631579
0d,0.0,Goblet,0.6666667,1.0,6.0,1.0,1.3333334
0d,0.0,Lymphatic,0.64285713,1.5238096,2.547619,0.04761905,0.35714287
0d,0.0,Macrophage,1.0625,0.34375,0.875,0.15625,0.375
0d,0.0,Mesothelial,0.30701753,1.0416666,2.5789473,0.059210528,0.23684211
0d,0.0,Neuron,0.5576923,0.61538464,3.8205128,0.6923077,0.43589744
0d,0.0,SMC,0.4183486,0.44220182,0.8311927,0.11743119,0.19082569
0d,0.0,Stem,0.45787546,0.5787546,1.4761904,0.85347986,0.6996337
0d,0.0,T,0.65217394,0.65217394,0.3478261,0.6086956,0.5652174
0d,0.0,TA,0.59816885,0.9084435,1.8504578,1.0376399,1.017294
0d,0.0,Tuft,0.75,0.9166667,1.25,1.1666666,0.75
0d,0.0,Vascular,0.6136364,1.1363636,1.5,0.0,0.25
12w,12.0,B,1.1711906,0.8516348,1.6306292,1.1449722,0.87723625
12w,12.0,Colonocyte,1.5625987,0.82794124,2.014509,0.8330896,1.0652021
12w,12.0,Cycling,1.2919358,0.90452206,1.7972462,0.6409723,0.8874959
12w,12.0,Enteroendocrine,1.4612913,1.1286883,2.8626935,0.94887525,0.98042655
12w,12.0,Fibroblast,1.2095262,0.83949107,2.065003,0.59717804,0.8550689
12w,12.0,Glia,1.0892409,0.9949778,2.265984,0.7231988,0.84798145
12w,12.0,Goblet,2.7824726,1.483255,4.9539905,2.0970266,1.9436619
12w,12.0,Lymphatic,1.0904783,0.9989064,2.2268884,0.5145815,0.742126
12w,12.0,Macrophage,1.7541364,0.9088534,2.62119,0.7329463,0.90478957
12w,12.0,Mesothelial,0.8165596,0.697359,2.162741,0.49179158,0.58101356
12w,12.0,Neuron,1.1979278,0.8538764,5.5912824,1.2608074,0.60021436
12w,12.0,SMC,1.2822673,0.87363863,2.366087,0.6966725,0.86274743
12w,12.0,Stem,1.4405717,0.6952524,1.733534,0.60381144,0.7190739
12w,12.0,T,1.2725298,0.80401736,1.4747556,0.6780673,0.77117264
12w,12.0,TA,1.1681406,0.8332424,2.0410554,0.635042,0.9082303
12w,12.0,Tuft,1.51008,1.128,1.97056,0.82784,0.8848
12w,12.0,Vascular,1.2733408,0.9561305,2.4141731,0.55163103,0.8011249
1w,1.0,B,1.5,0.0,1.0,1.0,0.0
1w,1.0,Colonocyte,0.7398844,0.8034682,2.699422,1.0867052,1.0982659
1w,1.0,Cycling,0.44067797,0.5819209,1.0564972,0.7288136,0.50564975
1w,1.0,Enteroendocrine,0.30769232,0.30769232,1.8461539,0.3846154,0.3846154
1w,1.0,Fibroblast,0.34042552,0.31382978,0.8351064,0.095744684,0.25
1w,1.0,Glia,0.24,0.44,0.96,0.4,0.2
1w,1.0,Goblet,1.0,1.0,1.5,2.5,0.0
1w,1.0,Lymphatic,0.3888889,1.5555556,1.3333334,0.0,0.11111111
1w,1.0,Macrophage,0.7692308,0.23076923,1.8461539,0.15384616,0.15384616
1w,1.0,Mesothelial,0.3106796,0.6699029,1.815534,0.106796116,0.2038835
