organ,age_months,source,sample_id,n_cells,source_accession,preprocess_status,mapping_target
BAT,3,PanSci,BAT_03_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brown_Fat_CTRL1 (GSE248904)
BAT,3,TMS,BAT_3m,713,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brown_Fat_CTRL1 (GSE248904)
BAT,6,PanSci,BAT_06_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brown_Fat_CTRL1 (GSE248904)
BAT,12,PanSci,BAT_12_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brown_Fat_CTRL1 (GSE248904)
BAT,16,PanSci,BAT_16_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brown_Fat_CTRL1 (GSE248904)
BAT,18,TMS,BAT_18m,662,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brown_Fat_CTRL1 (GSE248904)
BAT,21,TMS,BAT_21m,794,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brown_Fat_CTRL1 (GSE248904)
BAT,23,PanSci,BAT_23_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brown_Fat_CTRL1 (GSE248904)
BAT,24,TMS,BAT_24m,848,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brown_Fat_CTRL1 (GSE248904)
BAT,30,TMS,BAT_30m,2015,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brown_Fat_CTRL1 (GSE248904)
Bone_Marrow,1,TMS,Bone_Marrow_1m,3027,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Bone_Marrow_CTRL1 (GSE248904)
Bone_Marrow,3,TMS,Bone_Marrow_3m,3490,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Bone_Marrow_CTRL1 (GSE248904)
Bone_Marrow,18,TMS,Bone_Marrow_18m,6712,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Bone_Marrow_CTRL1 (GSE248904)
Bone_Marrow,21,TMS,Bone_Marrow_21m,5216,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Bone_Marrow_CTRL1 (GSE248904)
Bone_Marrow,24,TMS,Bone_Marrow_24m,8279,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Bone_Marrow_CTRL1 (GSE248904)
Bone_Marrow,30,TMS,Bone_Marrow_30m,10000,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Bone_Marrow_CTRL1 (GSE248904)
Brain,3,EasySci,Brain_03_months,8875,GSE212606,Main_cell_type + Sub_cluster from source,Brain_CTRL1 (GSE248904)
Brain,3,PanSci,Brain_3m,4405,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brain_CTRL1 (GSE248904)
Brain,3,TMS,Brain_3m,4643,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brain_CTRL1 (GSE248904)
Brain,6,EasySci,Brain_06_months,8892,GSE212606,Main_cell_type + Sub_cluster from source,Brain_CTRL1 (GSE248904)
Brain,6,Hammond_microglia,Brain_6m,2528,GSE179358,cellType=microglial cell (single-cell-type focus),Brain_CTRL1 (GSE248904)
Brain,6,PanSci,Brain_6m,4478,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brain_CTRL1 (GSE248904)
Brain,12,Hammond_microglia,Brain_12m,2197,GSE179358,cellType=microglial cell (single-cell-type focus),Brain_CTRL1 (GSE248904)
Brain,12,MCA2,Brain_12m,4242,GSE153562,leiden clusters with marker-based manual annotation,Brain_CTRL1 (GSE248904)
Brain,18,Hammond_microglia,Brain_18m,2614,GSE179358,cellType=microglial cell (single-cell-type focus),Brain_CTRL1 (GSE248904)
Brain,18,TMS,Brain_18m,4022,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brain_CTRL1 (GSE248904)
Brain,21,EasySci,Brain_21_months,8873,GSE212606,Main_cell_type + Sub_cluster from source,Brain_CTRL1 (GSE248904)
Brain,21,TMS,Brain_21m,11824,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brain_CTRL1 (GSE248904)
Brain,24,Hammond_microglia,Brain_24m,2659,GSE179358,cellType=microglial cell (single-cell-type focus),Brain_CTRL1 (GSE248904)
Brain,24,TMS,Brain_24m,2677,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brain_CTRL1 (GSE248904)
Colon,3,PanSci,Colon_03_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Colon_CTRL1 (GSE248904)
Colon,3,TMS,Colon_3m,3987,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Colon_CTRL1 (GSE248904)
Colon,6,PanSci,Colon_06_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Colon_CTRL1 (GSE248904)
Colon,12,PanSci,Colon_12_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Colon_CTRL1 (GSE248904)
Colon,16,PanSci,Colon_16_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Colon_CTRL1 (GSE248904)
Colon,18,TMS,Colon_18m,2369,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Colon_CTRL1 (GSE248904)
Colon,21,MCA2,Colon_21m,10000,GSE153562,leiden clusters with marker-based manual annotation,Colon_CTRL1 (GSE248904)
Colon,23,PanSci,Colon_23_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Colon_CTRL1 (GSE248904)
Colon,24,TMS,Colon_24m,1955,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Colon_CTRL1 (GSE248904)
Colon,30,TMS,Colon_30m,1887,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Colon_CTRL1 (GSE248904)
Heart,1,TMS,Heart_1m,946,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Heart_CTRL1 (GSE248904)
