organ,age_months,n_samples,n_spots_total,n_spots_pAD_valid,median_logp,q25_logp,q75_logp,frac_genomewide_sig
BAT,3,2,10713,10683,1.186,0.734,1.707,0.001
BAT,6,1,10000,9995,0.996,0.58,1.496,0.0
BAT,12,1,10000,9994,1.057,0.606,1.6,0.0
BAT,16,1,10000,9983,1.054,0.623,1.595,0.0
BAT,18,1,662,613,3.549,1.547,5.833,0.055
BAT,21,1,794,781,2.458,1.045,3.528,0.061
BAT,23,1,10000,9998,1.123,0.642,1.734,0.0
BAT,24,1,848,844,1.604,0.916,2.513,0.001
BAT,30,1,2015,1987,2.421,0.793,3.406,0.031
Bone_Marrow,1,1,3027,2988,3.328,2.239,4.574,0.011
Bone_Marrow,3,1,3490,3440,3.694,2.429,5.145,0.042
Bone_Marrow,18,1,6712,6656,3.357,2.405,4.502,0.005
Bone_Marrow,21,1,5216,5181,3.098,2.223,4.388,0.011
Bone_Marrow,24,1,8279,8247,3.23,2.18,4.276,0.012
Bone_Marrow,30,1,10000,9973,3.088,2.17,4.364,0.009
Brain,3,2,17923,17597,0.062,0.001,1.398,0.04
Brain,6,2,15898,15688,0.023,0.002,0.318,0.01
Brain,12,1,6439,6417,0.666,0.221,5.351,0.014
Brain,18,1,6636,6595,3.687,2.114,4.824,0.009
Brain,21,2,20697,20440,0.056,0.003,3.503,0.029
Brain,24,1,5336,5240,3.514,2.456,4.639,0.004
Colon,3,2,13987,13937,1.398,0.571,2.418,0.0
Colon,6,1,10000,9889,1.239,0.456,2.23,0.0
Colon,12,1,10000,9900,1.186,0.497,2.021,0.0
Colon,16,1,10000,9927,1.174,0.512,2.01,0.0
Colon,18,1,2369,2369,2.378,1.136,3.297,0.0
Colon,21,1,10000,10000,1.571,0.863,2.71,0.001
Colon,23,1,10000,9913,1.159,0.501,1.921,0.0
Colon,24,1,1955,1955,2.619,1.651,3.592,0.001
Colon,30,1,1887,1887,2.864,1.884,3.898,0.003
Heart,1,1,946,923,2.483,1.309,3.476,0.001
Heart,3,2,10534,10490,1.038,0.213,2.292,0.002
Heart,6,1,10000,9982,0.88,0.13,1.974,0.0
Heart,12,1,10000,9993,0.942,0.176,2.07,0.0
Heart,16,1,10000,9961,1.156,0.181,2.16,0.001
Heart,18,1,1143,1099,1.942,0.435,3.519,0.013
Heart,21,1,918,853,2.273,1.074,3.375,0.038
Heart,23,1,10000,9994,1.15,0.155,2.073,0.002
Heart,24,1,768,728,2.41,0.886,3.643,0.014
Heart,30,1,4304,4281,2.412,1.42,3.299,0.003
Ileum,3,1,9994,9940,1.816,0.673,2.704,0.0
Ileum,6,1,9994,9899,1.69,0.805,2.515,0.0
Ileum,12,2,19977,19897,1.778,1.141,2.525,0.0
Ileum,16,1,9995,9910,1.752,0.793,2.733,0.0
Ileum,18,1,9983,9959,1.947,1.531,2.422,0.0
Ileum,21,1,9985,9985,2.345,1.801,2.93,0.0
Ileum,23,1,9998,9901,1.889,1.009,2.741,0.0
Ileum,24,1,9986,9986,1.809,1.281,2.446,0.001
Kidney,1,1,2422,2375,2.27,1.362,3.273,0.0
Kidney,3,2,12056,11829,0.851,0.443,1.466,0.0
Kidney,6,1,9773,9582,0.732,0.33,1.231,0.0
Kidney,12,1,9795,9611,0.708,0.334,1.204,0.0
Kidney,16,1,9800,9649,0.752,0.349,1.264,0.0
Kidney,18,1,3040,3003,2.587,1.726,3.407,0.004
Kidney,21,1,2204,2141,2.833,1.763,3.752,0.003
Kidney,23,1,9795,9638,0.706,0.349,1.176,0.0
Kidney,24,1,5508,5508,3.659,2.97,4.509,0.017
Kidney,30,1,5511,5486,2.508,1.67,3.541,0.01
Liver,1,1,2785,2725,3.406,2.331,4.465,0.007
Liver,3,2,10710,10669,1.389,0.809,2.042,0.0
Liver,6,1,9973,9944,1.564,0.988,2.145,0.0
Liver,12,1,9969,9958,1.436,0.936,2.008,0.0
Liver,16,1,9969,9955,1.299,0.794,1.903,0.0
Liver,18,1,1176,1094,3.191,1.388,4.443,0.067
Liver,21,1,367,321,3.445,2.862,4.344,0.0
Liver,23,1,9983,9961,1.265,0.662,2.141,0.0
Liver,24,1,945,868,3.089,1.422,4.752,0.096
Liver,30,1,2272,2250,5.225,2.27,6.373,0.096
Lung,1,1,2507,2299,3.76,2.287,5.013,0.011
Lung,3,2,13606,13293,1.317,0.614,2.979,0.011
Lung,6,1,9991,9945,1.161,0.578,2.663,0.001
Lung,12,1,9995,9935,1.165,0.533,2.997,0.001
Lung,16,1,9996,9915,1.066,0.468,2.999,0.001
Lung,18,1,4376,4242,3.132,2.094,5.07,0.024
Lung,21,1,2950,2751,3.092,2.268,4.309,0.008
Lung,23,1,9997,9928,1.77,0.736,3.335,0.001
Lung,24,1,1870,1743,1.74,0.886,3.829,0.018
Lung,30,1,9994,9836,4.227,3.279,5.304,0.032
Muscle,3,2,11097,11046,0.881,0.353,1.616,0.001
Muscle,6,1,9999,9883,0.631,0.267,1.032,0.0
Muscle,12,1,9995,9862,0.65,0.252,1.143,0.0
Muscle,16,1,9997,9945,0.652,0.259,1.2,0.0
Muscle,18,1,1521,1521,2.318,1.477,3.369,0.018
Muscle,21,1,3528,3477,1.675,1.049,2.878,0.005
Muscle,23,1,9995,9943,0.541,0.239,1.01,0.0
Muscle,24,1,1231,1231,1.604,1.079,2.347,0.016
Muscle,30,1,3284,3284,2.226,0.872,3.544,0.004
Pancreas,3,1,1588,1588,1.597,1.017,2.28,0.003
Pancreas,18,1,2071,2046,1.365,0.872,2.065,0.014
Pancreas,21,1,1437,1368,1.803,1.22,2.514,0.0
Pancreas,30,1,2642,2601,0.994,0.622,1.764,0.0
Skin,3,1,2346,2308,2.255,1.578,2.946,0.0
Skin,21,1,4352,4352,2.534,1.676,3.387,0.0
Skin,24,1,1122,1102,1.751,1.17,2.379,0.0
Spleen,1,1,2801,2734,3.813,3.017,4.601,0.007
Spleen,3,1,6480,6407,3.971,3.21,4.711,0.008
Spleen,6,1,9412,9389,3.443,2.614,4.349,0.011
Spleen,12,1,9569,9515,2.113,1.636,2.676,0.0
Spleen,18,1,5929,5855,3.846,3.075,4.623,0.004
Spleen,21,1,6186,6123,4.103,3.321,4.912,0.012
Spleen,24,1,3954,3919,3.424,2.665,4.392,0.018
Spleen,30,1,8615,8593,3.492,2.784,4.458,0.015
Stomach,3,1,9440,9387,0.758,0.27,1.351,0.0
Stomach,6,1,9361,9314,0.635,0.207,1.212,0.0
Stomach,12,2,17675,17567,1.092,0.48,1.81,0.0
Stomach,16,1,9353,9308,0.718,0.275,1.243,0.0
Stomach,18,1,9552,9552,1.892,1.424,2.457,0.0
Stomach,23,1,9353,9266,0.67,0.242,1.362,0.0
Stomach,24,1,9381,9363,1.643,1.231,2.221,0.0
Thymus,3,1,1430,1430,2.468,1.938,3.143,0.001
Thymus,12,1,10000,10000,2.19,1.673,2.791,0.0
Thymus,18,1,2040,2040,2.699,2.047,3.267,0.005
Thymus,21,1,2792,2792,2.708,2.048,3.361,0.001
Thymus,24,1,3013,2980,3.623,2.909,4.443,0.007
