organ,age_group,n_samples,n_spots_total,n_spots_pAD_valid,median_logp,q25_logp,q75_logp,frac_genomewide_sig
BAT,Young (≤6 mo),3,20713,20678,1.097,0.653,1.613,0.0
BAT,Mid (6–18 mo),2,20000,19977,1.056,0.614,1.597,0.0
BAT,Old (≥18 mo),5,14319,14223,1.278,0.706,2.212,0.01
Bone_Marrow,Young (≤6 mo),2,6517,6428,3.503,2.327,4.873,0.028
Bone_Marrow,Old (≥18 mo),4,30207,30057,3.187,2.238,4.373,0.009
Brain,Young (≤6 mo),4,33821,33285,0.035,0.001,0.752,0.026
Brain,Mid (6–18 mo),1,6439,6417,0.666,0.221,5.351,0.014
Brain,Old (≥18 mo),4,32669,32275,1.049,0.016,4.632,0.021
Colon,Young (≤6 mo),3,23987,23826,1.322,0.518,2.338,0.0
Colon,Mid (6–18 mo),2,20000,19827,1.18,0.504,2.018,0.0
Colon,Old (≥18 mo),5,26211,26124,1.584,0.783,2.67,0.001
Heart,Young (≤6 mo),4,21480,21395,1.018,0.182,2.208,0.001
Heart,Mid (6–18 mo),2,20000,19954,1.057,0.178,2.12,0.0
Heart,Old (≥18 mo),5,17133,16955,1.58,0.464,2.724,0.005
Ileum,Young (≤6 mo),2,19988,19839,1.742,0.749,2.61,0.0
Ileum,Mid (6–18 mo),3,29972,29807,1.771,1.049,2.587,0.0
Ileum,Old (≥18 mo),4,39952,39831,2.01,1.425,2.645,0.0
Kidney,Young (≤6 mo),4,24251,23786,0.867,0.434,1.527,0.0
Kidney,Mid (6–18 mo),2,19595,19260,0.731,0.341,1.234,0.0
Kidney,Old (≥18 mo),5,26058,25776,2.045,0.836,3.401,0.006
Liver,Young (≤6 mo),4,23468,23338,1.596,0.969,2.319,0.001
Liver,Mid (6–18 mo),2,19938,19913,1.37,0.861,1.953,0.0
Liver,Old (≥18 mo),5,14743,14494,1.625,0.824,3.156,0.026
Lung,Young (≤6 mo),4,26104,25537,1.41,0.646,3.123,0.007
Lung,Mid (6–18 mo),2,19991,19850,1.12,0.497,2.998,0.001
Lung,Old (≥18 mo),5,29187,28500,3.176,1.773,4.608,0.017
Muscle,Young (≤6 mo),3,21096,20929,0.733,0.302,1.309,0.0
Muscle,Mid (6–18 mo),2,19992,19807,0.651,0.255,1.169,0.0
Muscle,Old (≥18 mo),5,19559,19456,1.012,0.446,2.148,0.004
Pancreas,Young (≤6 mo),1,1588,1588,1.597,1.017,2.28,0.003
Pancreas,Old (≥18 mo),3,6150,6015,1.287,0.795,2.104,0.005
Skin,Young (≤6 mo),1,2346,2308,2.255,1.578,2.946,0.0
Skin,Old (≥18 mo),2,5474,5454,2.346,1.522,3.22,0.0
Spleen,Young (≤6 mo),3,18693,18530,3.703,2.859,4.531,0.01
Spleen,Mid (6–18 mo),1,9569,9515,2.113,1.636,2.676,0.0
Spleen,Old (≥18 mo),4,24684,24490,3.723,2.942,4.655,0.012
Stomach,Young (≤6 mo),2,18801,18701,0.699,0.234,1.278,0.0
Stomach,Mid (6–18 mo),3,27028,26875,0.934,0.394,1.629,0.0
Stomach,Old (≥18 mo),3,28286,28181,1.514,0.896,2.16,0.0
Thymus,Young (≤6 mo),1,1430,1430,2.468,1.938,3.143,0.001
Thymus,Mid (6–18 mo),1,10000,10000,2.19,1.673,2.791,0.0
Thymus,Old (≥18 mo),3,7845,7812,3.004,2.324,3.767,0.004
